X,Y,Z,formation
591687.2670521722,7011512.1585140815,908.0341306110502,sill_diabasio
591703.973900597,7011464.937548606,905.0302017024424,sill_diabasio
591720.6807490217,7011417.71658313,900.866761492408,sill_diabasio
591737.3875974464,7011370.495617654,896.7332524873066,sill_diabasio
591754.0944458712,7011323.274652179,892.5477388231768,sill_diabasio
591770.8012942959,7011276.053686704,891.1724123748502,sill_diabasio
591787.5081427207,7011228.832721228,890.4040957455071,sill_diabasio
591804.2149911454,7011181.611755752,889.4990275741694,sill_diabasio
591820.9218395702,7011134.390790276,887.9938193987243,sill_diabasio
591838.2914505559,7011087.464372326,887.4989847783991,sill_diabasio
591862.1452424059,7011043.419679352,888.7257615556384,sill_diabasio
591885.9990342561,7010999.374986379,891.1020592720471,sill_diabasio
591909.8528261061,7010955.330293406,893.1365740872859,sill_diabasio
591933.7066179562,7010911.285600432,896.1252439673976,sill_diabasio
591957.5604098062,7010867.240907459,899.8610138050071,sill_diabasio
591981.4142016564,7010823.196214486,901.6851105704908,sill_diabasio
592005.2679935064,7010779.151521512,904.4744634077484,sill_diabasio
592029.1217853564,7010735.106828539,905.50985223941,sill_diabasio
592052.9755772065,7010691.062135566,903.7921981402887,sill_diabasio
592076.8293690566,7010647.017442592,901.831711901872,sill_diabasio
592100.6831609067,7010602.972749619,900.8739008809944,sill_diabasio
592124.5369527567,7010558.928056645,900.2066740589544,sill_diabasio
592148.3907446067,7010514.8833636725,898.2022639131508,sill_diabasio
592172.2445364569,7010470.838670699,894.9100134017657,sill_diabasio
592196.0983283069,7010426.793977725,890.7214413525553,sill_diabasio
592213.7184572018,7010380.984593237,886.043591084893,sill_diabasio
592216.4913720997,7010330.97210172,881.324718763737,sill_diabasio
592219.2642869976,7010280.959610203,876.8331065123599,sill_diabasio
592222.0372018956,7010230.947118687,871.7515514780157,sill_diabasio
592224.8101167935,7010180.93462717,867.8275944452491,sill_diabasio
592227.5830316914,7010130.922135653,863.2876360218852,sill_diabasio
592230.3559465893,7010080.909644136,860.8137204139349,sill_diabasio
592233.1288614871,7010030.897152619,863.3869179422169,sill_diabasio
592235.901776385,7009980.884661103,866.9838634836296,sill_diabasio
592238.6746912829,7009930.872169586,866.9360018747611,sill_diabasio
592241.4476061808,7009880.859678069,855.5029716712263,sill_diabasio
592244.2205210787,7009830.847186552,831.1159262447977,sill_diabasio
592240.588104248,7009791.367701845,803.7236817550972,sill_diabasio
592197.4582320125,7009816.838321894,794.795757288566,sill_diabasio
592154.3283597769,7009842.308941944,787.3697281903542,sill_diabasio
592111.1984875413,7009867.779561993,780.0840355185858,sill_diabasio
592068.0686153057,7009893.250182042,772.9990758317017,sill_diabasio
592024.9387430701,7009918.720802091,766.1079007011738,sill_diabasio
591979.0763291838,7009938.218261877,755.2685801971403,sill_diabasio
591931.6035766463,7009954.195624965,745.6474674838921,sill_diabasio
591884.1308241088,7009970.172988054,740.2921956920686,sill_diabasio
591836.6580715714,7009986.150351143,739.3852248535153,sill_diabasio
591789.185319034,7010002.127714231,739.2875656366386,sill_diabasio
591741.7125664966,7010018.10507732,737.6490659659704,sill_diabasio
591694.2398139591,7010034.082440408,734.1423057652833,sill_diabasio
591646.7670614216,7010050.059803496,731.4504793513267,sill_diabasio
591599.2943088842,7010066.037166585,730.7125748483785,sill_diabasio
591551.8215563467,7010082.014529673,728.5129807596667,sill_diabasio
591504.3488038093,7010097.991892762,725.1812932905896,sill_diabasio
591456.8760512719,7010113.969255851,725.6093511161721,sill_diabasio
591409.4032987345,7010129.946618939,731.7466452348225,sill_diabasio
591361.930546197,7010145.923982027,739.3560450892696,sill_diabasio
591314.4577936595,7010161.901345116,745.8714000891575,sill_diabasio
591266.9850411221,7010177.878708204,750.108937342168,sill_diabasio
591219.5122885846,7010193.856071292,753.335787330813,sill_diabasio
591172.6190377845,7010211.403093508,754.827558895106,sill_diabasio
591126.1528925964,7010230.106989254,755.9824876408776,sill_diabasio
591079.6867474084,7010248.810885,756.2559338185002,sill_diabasio
591033.2206022203,7010267.514780747,754.9350323017505,sill_diabasio
